Library,Event Year,Event Month,Category,Age Group,Events,Attendance
Aberdeen,2020,1,"Activities & Games, DIY & Crafts, Early Learning & Storytime, STEAM","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family",8,34
Aberdeen,2020,1,"Arts & Culture, Music & Performance","Teen (ages 12-18), Adult (18 and older), All Ages, Family",1,10
Aberdeen,2020,1,Book Sale,All Ages,17,
Aberdeen,2020,1,Books & Authors,Adult (18 and older),2,7
Aberdeen,2020,1,Early Learning & Storytime,Family,5,62
Aberdeen,2020,1,Early Learning & Storytime,"Preschool (ages 3-6), Family",1,13
Aberdeen,2020,1,"Featured, Books & Authors",Adult (18 and older),8,93
Aberdeen,2020,1,Special Event,Adult (18 and older),4,
Aberdeen,2020,1,Special Event,All Ages,1,50
Aberdeen,2020,1,Special Event,Teen (ages 12-18),1,13
Aberdeen,2020,2,"Activities & Games, DIY & Crafts, Early Learning & Storytime, STEAM","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family",9,48
Aberdeen,2020,2,Book Sale,All Ages,16,
Aberdeen,2020,2,Books & Authors,Adult (18 and older),2,
Aberdeen,2020,2,Early Learning & Storytime,Family,4,95
Aberdeen,2020,2,"Featured, Arts & Culture, Classes & Workshops","Teen (ages 12-18), Adult (18 and older)",1,
Aberdeen,2020,2,"Featured, Books & Authors",Adult (18 and older),8,74
Aberdeen,2020,2,Special Event,Adult (18 and older),9,
Aberdeen,2020,2,Special Event,All Ages,1,
Aberdeen,2020,3,"Activities & Games, DIY & Crafts, Early Learning & Storytime, STEAM","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family",3,20
Aberdeen,2020,3,Book Sale,All Ages,8,
Aberdeen,2020,3,Books & Authors,Adult (18 and older),1,
Aberdeen,2020,3,Early Learning & Storytime,Family,1,
Aberdeen,2020,3,Special Event,Adult (18 and older),5,
All Locations,2020,10,Classes & Workshops,All Ages,1,
All Locations,2020,10,DIY & Crafts,Adult (18 and older),1,
All Locations,2020,10,Special Event,Adult (18 and older),1,8
All Locations,2020,11,Classes & Workshops,All Ages,1,
All Locations,2020,11,DIY & Crafts,Adult (18 and older),1,
All Locations,2020,11,Special Event,Adult (18 and older),1,8
All Locations,2020,12,Classes & Workshops,All Ages,1,
All Locations,2020,12,DIY & Crafts,Adult (18 and older),1,
All Locations,2020,12,Special Event,Adult (18 and older),1,8
All Locations,2020,1,Activities & Games,All Ages,1,
All Locations,2020,1,Activities & Games,Family,4,
All Locations,2020,1,"DIY & Crafts, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Teen (ages 12-18), Adult (18 and older)",1,15
All Locations,2020,1,Early Learning & Storytime,"Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Adult (18 and older), Family",1,18
All Locations,2020,1,Special Event,Adult (18 and older),3,116
All Locations,2020,1,Special Event,"Teen (ages 12-18), Adult (18 and older)",1,50
All Locations,2020,2,Activities & Games,Family,4,
All Locations,2020,2,"Arts & Culture, Books & Authors",Adult (18 and older),1,
All Locations,2020,2,Arts & Culture,Adult (18 and older),1,
All Locations,2020,2,Arts & Culture,Family,1,
All Locations,2020,2,Board Meetings,Adult (18 and older),1,
All Locations,2020,2,Special Event,Adult (18 and older),2,79
All Locations,2020,2,Special Event,All Ages,1,50
All Locations,2020,2,STEAM,"School Age (ages 6-11), Teen (ages 12-18)",1,4
All Locations,2020,3,Activities & Games,Family,5,
All Locations,2020,3,Classes & Workshops,Adult (18 and older),2,
All Locations,2020,3,DIY & Crafts,Adult (18 and older),1,
All Locations,2020,3,Special Event,Adult (18 and older),1,8
All Locations,2020,3,Special Event,All Ages,2,87
All Locations,2020,4,Activities & Games,Family,4,
All Locations,2020,4,Books & Authors,Adult (18 and older),1,
All Locations,2020,4,DIY & Crafts,Adult (18 and older),1,
All Locations,2020,4,Special Event,Adult (18 and older),1,8
